"filename", "language", "JSON", "Markdown", "TypeScript", "JSON with Comments", "TypeScript JSX", "SVG", "JavaScript", "PostCSS", "comment", "blank", "total"
"f:\e-booi-an-ebook-platform\frontend\features\home\components\book-section.tsx", "TypeScript JSX", 0, 0, 0, 0, 55, 0, 0, 0, 0, 11, 66
"f:\e-booi-an-ebook-platform\frontend\features\home\components\category-section.tsx", "TypeScript JSX", 0, 0, 0, 0, 56, 0, 0, 0, 0, 7, 63
"f:\e-booi-an-ebook-platform\frontend\features\home\components\hero-section.tsx", "TypeScript JSX", 0, 0, 0, 0, 156, 0, 0, 0, 5, 20, 181
"f:\e-booi-an-ebook-platform\frontend\features\home\components\preorder-section.tsx", "TypeScript JSX", 0, 0, 0, 0, 21, 0, 0, 0, 0, 5, 26
"f:\e-booi-an-ebook-platform\frontend\features\home\components\section-header.tsx", "TypeScript JSX", 0, 0, 0, 0, 22, 0, 0, 0, 0, 4, 26
"f:\e-booi-an-ebook-platform\frontend\features\home\hooks\home.hooks.ts", "TypeScript", 0, 0, 8, 0, 0, 0, 0, 0, 0, 2, 10
"f:\e-booi-an-ebook-platform\frontend\features\home\types\home.types.ts", "TypeScript", 0, 0, 56, 0, 0, 0, 0, 0, 0, 12, 68
"f:\e-booi-an-ebook-platform\frontend\features\library\api\library.api.ts", "TypeScript", 0, 0, 7, 0, 0, 0, 0, 0, 0, 2, 9
"f:\e-booi-an-ebook-platform\frontend\features\library\hooks\use-library.ts", "TypeScript", 0, 0, 7, 0, 0, 0, 0, 0, 0, 1, 8
"f:\e-booi-an-ebook-platform\frontend\features\library\types\library.types.ts", "TypeScript", 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 8
"f:\e-booi-an-ebook-platform\frontend\features\orders\api\orders.api.ts", "TypeScript", 0, 0, 43, 0, 0, 0, 0, 0, 0, 7, 50
"f:\e-booi-an-ebook-platform\frontend\features\orders\components\order-card.tsx", "TypeScript JSX", 0, 0, 0, 0, 176, 0, 0, 0, 0, 19, 195
